,TOP_CHARGE,count,top_charge_level,gun_license,gun_case
155,AGGRAVATED UNLAWFUL RESTRAINT,3,,,
156,ARMED VIOLENCE/CATEGORY III WE,3,,,
157,ATTEMPT MURDER - FIRST DEGREE,3,,,
158,CANNABIS - MFG/DEL - 500-2000,3,,,
159,CARRY/POSSESS CONCEALED GUN,3,,,
160,FIREARM/FOID INVALID/NO ELIG,3,,,
161,MFG 15>100 GR ECSTASY/ANALOG,3,,,
162,OTHER AMT NARCOTIC SCHED I&II,3,,,
163,POSS AMT CON SUB EXCEPT(A)/(D),3,,,
164,UNLAW POSS OF FIREARM BY STREE,3,,,
165,UNLAWFUL POSSESSION OF WEAPONS BY FELONS,3,,,
166,UNLAWFUL USE ARMOR PIERCE BULL,3,,,
167,UNLAWFUL USE OF A WEAPON BY FELON,3,,,
168,UUW -  WEAPON - BAR/PUBLIC GAT,3,,,
169,UUW-WEAPON-PUBLIC STREET/ALLEY/LANDS,3,,,
170,VIOLATION OF PAROLE,3,,,
171,AGG ASSAULT PEACE OFF/FIRE/ER,2,,,
172,AGG DISCHARGE FIREARM - VEH/SC,2,,,
173,AGG UPW/PERSON/2+,2,,,
174,AGG UPW/PERSON/NO FOID/2+,2,,,
175,AGG UPW/VEH/AMMO,2,,,
176,AGG UPW/VEH/LOADED/NO FCCA/2+,2,,,
177,AGG UPW/VEHICLE/<21/2+,2,,,
178,AGG UUW - NO CCL,2,,,
179,AGG UUW/NO FOID / VEHICLE,2,,,
180,AGG UUW/PERSON/DELINQ MINOR,2,,,
181,AGG UUW/PERSON/NO FOID/2+,2,,,
182,AGG UUW/VEH/LOADED/NO FCCA 2+,2,,,
183,AGGRAVATED UNLAWFUL POSSESSION OF A WEAPON/VEH/NO FOID,2,,,
184,AGGRAVATED UNLAWFUL POSSESSION OF WEAPON,2,,,
185,AGGRAVATED UNLAWFUL USE OF A WEAPON BY FELON,2,,,
186,AGGRAVATED UNLAWFUL USE OF A WEAPON/ LOADED FIREARM,2,,,
187,AGGRAVATED UUW,2,,,
188,ARMED ROBBERY/ARMED W/FIREARM,2,,,
189,ARMED VIOLENCE/CATEGORY III,2,,,
190,BURGLARY - RESIDENTIAL,2,,,
191,BURGLARY W/O CAUSING DAMAGE,2,,,
192,CANNABIS - POSS CANNABIS/500<2,2,,,
193,CARRY/POSS FIREARM/SCHOOL/PARK,2,,,
194,DOMESTIC BATTERY - AGGRAVATED,2,,,
195,DOMESTIC BATTERY/BODILY HARM,2,,,
196,FELON POSS WEAPON,2,,,
197,FIREARM W/O VALID FOID/ELIG,2,,,
198,GUN OFFENDER REGISTRATION PERI,2,,,
199,IVC - AGG FLEEING/2+ CON DEVIC,2,,,
200,METH - POSSESSION OF METHAMPHE,2,,,
